Pyraminx Combined First Round,James Vanek,AZ 1
Pyraminx Combined First Round,Jandell Ryan Ko,CO 3
Pyraminx Combined First Round,Jason Ostdiek,NV 3
Pyraminx Combined First Round,Jeff Park,CA 3
Pyraminx Combined First Round,Jeremy Benik,CA 1
Pyraminx Combined First Round,Jerry Yan,NV 1
Pyraminx Combined First Round,Joe Branch,CO 2
Pyraminx Combined First Round,Jonathan Cookmeyer,CA 1
Pyraminx Combined First Round,Josh Camia,CO 1
Pyraminx Combined First Round,Joshua Peach,UT 1
Pyraminx Combined First Round,Jungwoo Kim,UT 3
Pyraminx Combined First Round,Keaton Ellis,AZ 3
Pyraminx Combined First Round,Kevin Matthews,UT 3
Pyraminx Combined First Round,Kian Jamali,AZ 1
Pyraminx Combined First Round,Kian Kwa,CA 2
Pyraminx Combined First Round,Kit Bailey,UT 2
Pyraminx Combined First Round,Kyle Hong,NV 1
Pyraminx Combined First Round,Kyle Lin,CO 1
Pyraminx Combined First Round,Levi Rubin,CO 2
Pyraminx Combined First Round,Logan Reyes,UT 2
Pyraminx Combined First Round,Lucas Mizumoto,CA 2
Pyraminx Combined First Round,Mark Boyanowski,NV 3
Pyraminx Combined First Round,Mateus Odom,AZ 2
Pyraminx Combined First Round,Matthew Dickman,CA 1
Pyraminx Combined First Round,Michael Chai,NV 1
Pyraminx Combined First Round,Michael Young,NV 2
Pyraminx Combined First Round,Miguel Diaz,AZ 2
Pyraminx Combined First Round,Mitchell Lane,NV 2
Pyraminx Combined First Round,Nathan Nakaguchi,CO 3
Pyraminx Combined First Round,Nathan Peck,NV 2
Pyraminx Combined First Round,Neil Johnson,CA 2
Pyraminx Combined First Round,Nick Anderson,CA 2
Pyraminx Combined First Round,Nicolas Harper,UT 3
Pyraminx Combined First Round,Pablo Nava,NV 2
Pyraminx Combined First Round,Paul Mahvi,AZ 3
Pyraminx Combined First Round,Rahil Pasha,CA 1
Pyraminx Combined First Round,Rider Heise-Pearce,UT 1
Pyraminx Combined First Round,Riley Woo,CA 1
Pyraminx Combined First Round,Roberto Mateo Valenciano,AZ 2
Pyraminx Combined First Round,Ryan Jew,UT 2
Pyraminx Combined First Round,Ryan Lee,AZ 3
Pyraminx Combined First Round,Saheb Sabharwal,CO 2
Pyraminx Combined First Round,Samuel Tong,AZ 1
Pyraminx Combined First Round,Satvik Reddy,AZ 3
Pyraminx Combined First Round,Scott Weston,CO 3
Pyraminx Combined First Round,Sean Wang,UT 2
Pyraminx Combined First Round,Shane Robertson,UT 1
Pyraminx Combined First Round,Siddharth Manchkanti,NV 3
Pyraminx Combined First Round,Spencer Lorenzen,AZ 1
Pyraminx Combined First Round,Spencer Stutzman,CA 3
Pyraminx Combined First Round,Stanley Chapel,NV 3
Pyraminx Combined First Round,Stanley Nerkowski IV,CO 3
Pyraminx Combined First Round,Sukumar Reddy Dumpa,NV 1
Pyraminx Combined First Round,Tegshburen Tunamal,CO 1
Pyraminx Combined First Round,Timothy Castle,UT 3
Pyraminx Combined First Round,Travis G. Kim,AZ 1
Pyraminx Combined First Round,Trenton Beyer,CO 1
Pyraminx Combined First Round,Ty Marshall,CO 3
Pyraminx Combined First Round,Tyler Howlett,CO 2
Pyraminx Combined First Round,Will Newhoff,CA 3
Pyraminx Combined First Round,Yash Bansal,NV 3
Pyraminx Combined First Round,Zach Goldman,CO 2
Pyraminx Combined First Round,Zachary Clark,AZ 2
Pyraminx Combined First Round,Zander Verhoeven,CA 2
Pyraminx Combined First Round,Zeke Miller,AZ 3
Pyraminx Combined First Round,Ziming Li,AZ 1
Pyraminx Combined First Round,Ziqi Li,CO 2
3x3x3 Cube Combined First Round,Aaron Soni,CO 1
